collection;date_sampling;date_assay;time_assay;ID;treatment;temperature;daily_mean;1-week_mean;2-week_mean;generation;vial_number;Ctmax;sex_confirmed;length1;length2;length3;position;species_gen;species;comment
1;2022-04-06;2022-04-07;morning;220407L1;wild;5.5;5.81;6.09;6.36;parental;1;20.28;m;NA;NA;NA;broken;not confirmed;hudsonica;inactive 
1;2022-04-06;2022-04-07;morning;220407L2;wild;5.5;5.81;6.09;6.36;parental;2;26.06;m;723;729;725;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L3;wild;5.5;5.81;6.09;6.36;parental;3;27.21;f;858;846;855;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L4;wild;5.5;5.81;6.09;6.36;parental;4;24.28;m;664;654;666;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L5;wild;5.5;5.81;6.09;6.36;parental;5;26.64;f;787;788;799;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L6;wild;5.5;5.81;6.09;6.36;parental;6;27.27;f;694;701;681;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L7;wild;5.5;5.81;6.09;6.36;parental;7;26.16;m;852;854;842;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L8;wild;5.5;5.81;6.09;6.36;parental;8;26.73;f;833;824;828;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L9;wild;5.5;5.81;6.09;6.36;parental;9;26.81;f;697;696;690;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;morning;220407L10;wild;5.5;5.81;6.09;6.36;parental;10;27.03;m;762;768;764;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R1;wild;5.5;5.81;6.09;6.36;parental;1;24.64;f;872;859;869;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R2;wild;5.5;5.81;6.09;6.36;parental;2;26.55;f;840;838;837;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R3;wild;5.5;5.81;6.09;6.36;parental;3;25.98;f;895;884;880;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R4;wild;5.5;5.81;6.09;6.36;parental;4;27.43;f;772;787;783;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R5;wild;5.5;5.81;6.09;6.36;parental;5;23.29;f;828;820;822;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R6;wild;5.5;5.81;6.09;6.36;parental;6;26.66;m;769;757;770;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R7;wild;5.5;5.81;6.09;6.36;parental;7;23.08;m;766;748;760;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R8;wild;5.5;5.81;6.09;6.36;parental;8;24.08;m;732;731;724;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R9;wild;5.5;5.81;6.09;6.36;parental;9;25.51;m;726;728;733;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-07;afternoon;220407R10;wild;5.5;5.81;6.09;6.36;parental;10;25.41;m;772;763;765;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R1;wild;5.5;5.81;6.09;6.36;parental;1;26.65;f;872;859;869;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R2;wild;5.5;5.81;6.09;6.36;parental;2;26.36;m;811;803;806;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R3;wild;5.5;5.81;6.09;6.36;parental;3;24.78;m;722;725;724;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R4;wild;5.5;5.81;6.09;6.36;parental;4;24.45;f;773;765;778;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R5;wild;5.5;5.81;6.09;6.36;parental;5;27.43;f;815;828;815;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R6;wild;5.5;5.81;6.09;6.36;parental;6;23.29;m;688;694;690;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R7;wild;5.5;5.81;6.09;6.36;parental;7;27.15;m;768;777;778;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R8;wild;5.5;5.81;6.09;6.36;parental;8;27.52;f;872;854;875;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R9;wild;5.5;5.81;6.09;6.36;parental;9;24.89;f;894;901;892;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;morning;220408R10;wild;5.5;5.81;6.09;6.36;parental;10;24.99;m;739;738;736;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L1;wild;5.5;5.81;6.09;6.36;parental;1;27.47;f;797;796;787;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L2;wild;5.5;5.81;6.09;6.36;parental;2;27.29;f;836;836;837;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L3;wild;5.5;5.81;6.09;6.36;parental;3;28.16;f;687;689;700;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L4;wild;5.5;5.81;6.09;6.36;parental;4;27.12;m;734;724;734;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L5;wild;5.5;5.81;6.09;6.36;parental;5;23.55;m;701;691;701;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L6;wild;5.5;5.81;6.09;6.36;parental;6;25.77;f;867;876;873;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L7;wild;5.5;5.81;6.09;6.36;parental;7;28.42;f;813;818;811;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L8;wild;5.5;5.81;6.09;6.36;parental;8;24.58;m;765;750;759;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L9;wild;5.5;5.81;6.09;6.36;parental;9;25.16;m;772;773;768;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-08;afternoon;220408L10;wild;5.5;5.81;6.09;6.36;parental;10;24.95;m;680;684;690;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L1;warm;18;18;18;18;f1;1;29.05;m;680;677;677;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L2;warm;18;18;18;18;f1;2;29.13;f;617;628;618;top;not confirmed;hudsonica;immature?
1;2022-04-06;2022-04-26;morning;220426L3;warm;18;18;18;18;f1;3;28.49;m;676;673;687;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L4;warm;18;18;18;18;f1;4;28.56;f;733;724;718;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L5;warm;18;18;18;18;f1;5;28.64;m;677;684;677;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L6;warm;18;18;18;18;f1;6;28.76;f;671;614;621;top;not confirmed;hudsonica;immature?
1;2022-04-06;2022-04-26;morning;220426L7;warm;18;18;18;18;f1;7;29.22;m;663;668;667;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L8;warm;18;18;18;18;f1;8;29.62;f;671;671;687;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L9;warm;18;18;18;18;f1;9;28.90;m;661;671;654;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;morning;220426L10;warm;18;18;18;18;f1;10;29.31;f;625;641;628;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R1;warm;18;18;18;18;f1;1;28.84;m;667;664;677;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R2;warm;18;18;18;18;f1;2;28.15;f;768;761;764;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R3;warm;18;18;18;18;f1;3;28.75;m;711;692;711;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R4;warm;18;18;18;18;f1;4;28.66;f;726;726;706;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R5;warm;18;18;18;18;f1;5;27.87;m;710;711;706;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R6;warm;18;18;18;18;f1;6;28.59;f;738;720;742;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R7;warm;18;18;18;18;f1;7;28.26;m;654;659;667;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-26;afternoon;220426R8;warm;18;18;18;18;f1;8;29.11;f;NA;NA;NA;NA;not confirmed;hudsonica;lost during preservation
1;2022-04-06;2022-04-26;afternoon;220426R9;warm;18;18;18;18;f1;9;NA;NA;NA;NA;NA;NA;not confirmed;hudsonica;no individual spotted
1;2022-04-06;2022-04-26;afternoon;220426R10;warm;18;18;18;18;f1;10;29.22;f;647;650;651;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R1;warm;18;18;18;18;f1;1;29.46;f;734;740;751;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R2;warm;18;18;18;18;f1;2;28.95;f;710;714;719;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R3;warm;18;18;18;18;f1;3;28.54;m;666;656;658;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R4;warm;18;18;18;18;f1;4;28.05;m;661;661;666;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R5;warm;18;18;18;18;f1;5;28.76;m;654;656;653;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R6;warm;18;18;18;18;f1;6;29.38;f;668;674;669;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R7;warm;18;18;18;18;f1;7;27.75;m;632;632;629;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R8;warm;18;18;18;18;f1;8;29.30;f;736;738;735;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R9;warm;18;18;18;18;f1;9;28.87;f;698;695;705;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;morning;220427R10;warm;18;18;18;18;f1;10;28.35;m;649;655;661;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L1;warm;18;18;18;18;f1;1;28.15;m;707;713;717;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L2;warm;18;18;18;18;f1;2;28.88;f;738;737;724;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L3;warm;18;18;18;18;f1;3;28.58;m;673;670;675;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L4;warm;18;18;18;18;f1;4;27.92;m;714;706;713;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L5;warm;18;18;18;18;f1;5;28.25;f;753;742;756;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L6;warm;18;18;18;18;f1;6;28.65;f;679;691;684;side;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L7;warm;18;18;18;18;f1;7;28.35;m;689;678;689;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L8;warm;18;18;18;18;f1;8;28.45;m;640;640;638;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L9;warm;18;18;18;18;f1;9;29.30;f;758;744;746;top;not confirmed;hudsonica;
1;2022-04-06;2022-04-27;afternoon;220427L10;warm;18;18;18;18;f1;10;28.74;f;702;695;701;side;not confirmed;hudsonica;
1;2022-04-06;2022-05-10;morning;220510L1;cold;11;11;11;11;f1;1;27.55;m;743;739;747;side;not confirmed;hudsonica;
1;2022-04-06;2022-05-10;morning;220510L2;cold;11;11;11;11;f1;2;28.03;f;798;796;807;side;not confirmed;hudsonica;
1;2022-04-06;2022-05-10;morning;220510L3;cold;11;11;11;11;f1;3;28.60;f;771;773;788;top;not confirmed;hudsonica;2 inside
1;2022-04-06;2022-05-10;morning;220510L4;cold;11;11;11;11;f1;4;27.20;m;731;721;724;side;not confirmed;hudsonica;
