label	Clade	group
Hap_1	II	other
Hap_2	I	other
Hap_3	I	other
Hap_3	I	other
Hap_3	I	other
Hap_3	I	other
Hap_4	I	other
Hap_5	I	other
Hap_6	SB	other
Hap_7	SB	other
Hap_7	SB	other
Hap_8	IV	other
Hap_9	IV	other
Hap_9	IV	other
Hap_9	IV	other
Hap_10	II	other
Hap_11	II	other
Hap_12	II	other
Hap_13	II	other
Hap_14	II	other
Hap_15	II	other
Hap_16	II	other
Hap_17	II	other
Hap_18	II	other
Hap_19	II	other
Hap_20	II	other
Hap_21	II	other
Hap_22	II	other
Hap_23	II	other
Hap_24	II	other
Hap_25	IV	other
Hap_26	IV	other
Hap_27	IV	other
Hap_27	IV	other
Hap_28	IV	other
Hap_29	IV	other
Hap_30	IV	other
Hap_30	IV	other
Hap_31	IV	other
Hap_32	IV	other
Hap_33	IV	other
Hap_34	IV	other
Hap_35	S	other
Hap_36	S	other
Hap_37	S	other
Hap_38	S	other
Hap_39	S	other
Hap_40	S	other
Hap_40	S	other
Hap_41	S	other
Hap_42	S	other
Hap_43	S	other
Hap_44	S	other
Hap_45	S	other
Hap_46	S	other
Hap_47	S	other
Hap_48	S	other
Hap_50	S	other
Hap_51	S	other
Hap_52	S	other
Hap_53	S	other
Hap_54	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_55	S	other
Hap_56	S	other
Hap_56	S	other
Hap_57	S	other
Hap_58	S	other
Hap_59	S	other
Hap_60	S	other
Hap_61	S	other
Hap_62	S	other
Hap_62	S	other
Hap_62	S	other
Hap_62	S	other
Hap_62	S	other
Hap_63	S	other
Hap_64	S	other
Hap_65	S	other
Hap_66	S	other
Hap_67	S	other
Hap_68	S	other
Hap_69	S	other
Hap_70	S	other
Hap_71	S	other
Hap_72	S	other
Hap_73	S	other
Hap_74	X	other
Hap_75	X	other
Hap_75	X	other
Hap_76	X	other
Hap_77	X	other
Hap_78	X	other
Hap_79	X	other
Hap_80	X	other
Hap_80	X	other
Hap_81	X	other
Hap_82	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_83	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_90	X	other
Hap_91	X	other
Hap_92	X	other
Hap_92	X	other
Hap_92	X	other
Hap_92	X	other
Hap_92	X	other
Hap_92	X	other
Hap_93	X	other
Hap_94	X	other
Hap_95	X	other
Hap_96	X	other
Hap_97	X	other
Hap_98	X	other
Hap_99	X	other
Hap_100	X	other
Hap_100	X	other
Hap_101	X	other
Hap_102	X	other
Hap_103	X	other
Hap_103	X	other
Hap_104	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_105	X	other
Hap_106	X	other
Hap_107	X	other
Hap_108	X	other
Hap_109	X	other
Hap_109	X	other
Hap_109	X	other
Hap_110	X	other
Hap_110	X	other
Hap_111	X	other
Hap_112	X	other
Hap_112	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_113	X	other
Hap_114	F	other
Hap_115	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_116	F	other
Hap_117	F	other
Hap_117	F	other
Hap_117	F	other
Hap_118	F	other
Hap_118	F	other
Hap_118	F	other
Hap_118	F	other
Hap_119	F	other
Hap_119	F	other
Hap_119	F	other
Hap_119	F	other
Hap_119	F	other
Hap_119	F	other
Hap_120	F	other
Hap_121	F	other
Hap_122	F	other
Hap_123	F	other
Hap_124	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_125	F	other
Hap_126	F	other
Hap_127	F	other
Hap_128	F	other
Hap_129	F	other
Hap_130	F	other
Hap_131	F	other
Hap_132	F	other
Hap_133	F	other
Hap_134	F	other
Hap_136	F	other
Hap_137	F	other
Hap_138	F	other
Hap_139	F	other
Hap_140	F	other
Hap_141	F	other
Hap_142	F	other
Hap_143	F	other
Hap_144	F	other
Hap_145	F	other
Hap_146	F	other
Hap_147	F	other
Hap_148	F	other
Hap_149	F	other
Hap_150	F	other
Hap_151	F	other
Hap_152	F	other
Hap_153	F	other
Hap_154	F	other
Hap_155	F	other
Hap_156	F	other
Hap_157	F	other
Hap_158	F	other
Hap_159	F	other
Hap_160	F	other
Hap_161	F	other
Hap_162	F	other
Hap_163	F	other
Hap_164	F	other
Hap_165	F	other
Hap_166	F	other
Hap_167	F	other
Hap_168	F	other
Hap_169	F	other
Hap_170	F	other
Hap_171	F	other
Hap_172	F	other
Hap_173	F	other
Hap_174	F	other
Hap_175	F	other
Hap_176	F	other
Hap_177	F	other
Hap_178	F	other
Hap_178	F	other
Hap_179	F	other
Hap_180	F	other
Hap_181	F	other
Hap_182	F	other
Hap_183	F	other
Hap_184	F	other
