"","Date","Time","T..IPTS.90"
"1",2022-03-21,"11:20:31",5.1771
"2",2022-03-21,"11:22:31",5.1707
"3",2022-03-21,"11:24:31",5.1723
"4",2022-03-21,"11:26:31",5.179
"5",2022-03-21,"11:28:31",5.1764
"6",2022-03-21,"11:30:31",5.1696
"7",2022-03-21,"11:32:31",5.1739
"8",2022-03-21,"11:34:31",5.1884
"9",2022-03-21,"11:36:31",5.2588
"10",2022-03-21,"11:38:31",5.2048
"11",2022-03-21,"11:40:31",5.2213
"12",2022-03-21,"11:42:31",5.231
"13",2022-03-21,"11:44:31",5.2719
"14",2022-03-21,"11:46:31",5.2773
"15",2022-03-21,"11:48:31",5.2548
"16",2022-03-21,"11:50:31",5.3631
"17",2022-03-21,"11:52:31",5.3522
"18",2022-03-21,"11:54:31",5.4205
"19",2022-03-21,"11:56:31",5.4482
"20",2022-03-21,"11:58:31",5.4153
"21",2022-03-21,"12:10:31",5.4696
"22",2022-03-21,"12:12:31",5.3449
"23",2022-03-21,"12:14:31",5.4036
"24",2022-03-21,"12:16:31",5.4563
"25",2022-03-21,"12:17:41",5.4362
"26",2022-03-21,"12:18:31",5.4168
"27",2022-03-21,"12:20:31",5.4244
"28",2022-03-21,"12:22:31",5.4355
"29",2022-03-21,"12:24:31",5.4157
"30",2022-03-21,"12:26:31",5.3441
"31",2022-03-21,"12:28:31",5.4223
"32",2022-03-21,"12:30:31",5.3889
"33",2022-03-21,"12:32:31",5.4098
"34",2022-03-21,"12:34:31",5.4376
"35",2022-03-21,"12:36:31",5.4282
"36",2022-03-21,"12:38:31",5.4053
"37",2022-03-21,"12:40:31",5.4131
"38",2022-03-21,"12:42:31",5.3952
"39",2022-03-21,"12:44:31",5.4359
"40",2022-03-21,"12:46:31",5.4279
"41",2022-03-21,"12:48:31",5.4342
"42",2022-03-21,"12:50:31",5.4292
"43",2022-03-21,"12:52:31",5.403
"44",2022-03-21,"12:54:31",5.3973
"45",2022-03-21,"12:56:31",5.3791
"46",2022-03-21,"12:58:31",5.3972
"47",2022-03-21,"13:0:31",5.4375
"48",2022-03-21,"13:2:31",5.2899
"49",2022-03-21,"13:4:31",5.4307
"50",2022-03-21,"13:6:31",5.4097
"51",2022-03-21,"13:8:31",5.3978
"52",2022-03-21,"13:10:31",5.4333
"53",2022-03-21,"13:12:31",5.3818
"54",2022-03-21,"13:14:31",5.4442
"55",2022-03-21,"13:16:31",5.4001
"56",2022-03-21,"13:18:31",5.4243
"57",2022-03-21,"13:20:31",5.3875
"58",2022-03-21,"13:22:31",5.4075
"59",2022-03-21,"13:24:31",5.3868
"60",2022-03-21,"13:26:31",5.308
"61",2022-03-21,"13:28:31",5.45
"62",2022-03-21,"13:30:31",5.3276
"63",2022-03-21,"13:32:31",5.384
"64",2022-03-21,"13:34:31",5.3788
"65",2022-03-21,"13:36:31",5.4024
"66",2022-03-21,"13:38:31",5.4185
"67",2022-03-21,"13:40:31",5.3996
"68",2022-03-21,"13:42:31",5.4091
"69",2022-03-21,"13:44:31",5.832
"70",2022-03-21,"13:46:31",5.2881
"71",2022-03-21,"13:48:31",5.4144
"72",2022-03-21,"13:50:31",5.3291
"73",2022-03-21,"13:52:31",5.4584
"74",2022-03-21,"13:54:31",5.2796
"75",2022-03-21,"13:56:31",5.3839
"76",2022-03-21,"13:58:31",5.3048
"77",2022-03-21,"14:0:31",5.3864
"78",2022-03-21,"14:2:31",5.335
"79",2022-03-21,"14:4:31",5.3942
"80",2022-03-21,"14:6:31",5.4044
"81",2022-03-21,"14:8:31",5.4443
"82",2022-03-21,"14:10:31",5.4472
"83",2022-03-21,"14:12:31",5.4732
"84",2022-03-21,"14:14:31",5.2434
"85",2022-03-21,"14:16:31",5.576
"86",2022-03-21,"14:18:31",5.42
"87",2022-03-21,"14:20:31",5.3785
"88",2022-03-21,"14:22:31",5.552
"89",2022-03-21,"14:24:31",5.5967
"90",2022-03-21,"14:26:31",5.6405
"91",2022-03-21,"14:28:31",5.657
"92",2022-03-21,"14:30:31",5.6145
"93",2022-03-21,"14:32:31",5.6149
"94",2022-03-21,"14:34:31",5.6437
"95",2022-03-21,"14:36:31",5.4978
"96",2022-03-21,"14:38:31",5.52
"97",2022-03-21,"14:40:31",5.4139
"98",2022-03-21,"14:42:31",5.7218
"99",2022-03-21,"14:44:31",5.6554
"100",2022-03-21,"14:46:31",5.5726
"101",2022-03-21,"14:48:31",5.5966
"102",2022-03-21,"14:50:31",5.347
"103",2022-03-21,"14:52:31",5.3616
"104",2022-03-21,"14:54:31",5.3447
"105",2022-03-21,"14:56:31",5.3104
"106",2022-03-21,"14:58:31",5.3298
"107",2022-03-21,"15:0:31",5.317
"108",2022-03-21,"15:2:31",5.3159
"109",2022-03-21,"15:4:31",5.3191
"110",2022-03-21,"15:6:31",5.3378
"111",2022-03-21,"15:8:31",5.3848
"112",2022-03-21,"15:10:31",5.3938
"113",2022-03-21,"15:12:31",5.4011
"114",2022-03-21,"15:14:31",5.3712
"115",2022-03-21,"15:16:31",5.3521
"116",2022-03-21,"15:18:31",5.3488
"117",2022-03-21,"15:20:31",5.3702
"118",2022-03-21,"15:22:31",5.6071
"119",2022-03-21,"15:24:31",5.5984
"120",2022-03-21,"15:26:31",5.3948
"121",2022-03-21,"15:28:31",5.3695
"122",2022-03-21,"15:30:31",5.3888
"123",2022-03-21,"15:32:31",5.3807
